Time / s,C1.v / V,C2.v / V,G.v / V,L.v / V,Nr.v / V,Ro.v / V
145.0,3.8789875507354736,-0.0310317724943161,-3.9100193977355957,-0.0798819288611412,3.8789875507354736,0.048850156366825104
150.0,3.7355504035949707,-0.11602842807769775,-3.851578712463379,-0.16445383429527283,3.7355504035949707,0.04842539131641388
155.0,3.5798184871673584,-0.20056870579719543,-3.7803871631622314,-0.24827678501605988,3.5798184871673584,0.04770808294415474
160.0,3.412933588027954,-0.2838500738143921,-3.6967835426330566,-0.33055201172828674,3.412933588027954,0.04670194163918495
165.0,3.236210823059082,-0.3650681972503662,-3.6012790203094482,-0.41048240661621094,3.236210823059082,0.045414216816425323
170.0,3.0510358810424805,-0.44344571232795715,-3.4944815635681152,-0.48729968070983887,3.0510358810424805,0.04385396093130112
175.0,2.8589236736297607,-0.5182245373725891,-3.377148151397705,-0.5602579116821289,2.8589236736297607,0.04203338921070099
180.0,2.6614906787872314,-0.5886754393577576,-3.2501659393310547,-0.6286429762840271,2.6614906787872314,0.03996754810214043
185.0,2.4603798389434814,-0.6541101336479187,-3.114489793777466,-0.6917828917503357,2.4603798389434814,0.03767278790473938
190.0,2.2573375701904297,-0.713882327079773,-2.971220016479492,-0.7490512728691101,2.2573375701904297,0.035168904811143875
195.0,2.054136276245117,-0.7673959732055664,-2.8215322494506836,-0.799873411655426,2.054136276245117,0.03247744217514992
200.0,1.8525474071502686,-0.8141067028045654,-2.666654109954834,-0.8437278270721436,1.8525474071502686,0.029621146619319916
205.0,1.6543798446655273,-0.8535385727882385,-2.507918357849121,-0.8801640868186951,1.6543798446655273,0.02662552520632744
210.0,1.4614131450653076,-0.8852741122245789,-2.3466873168945312,-0.9087910056114197,1.4614131450653076,0.023516932502388954
215.0,1.2753921747207642,-0.9089634418487549,-2.1843557357788086,-0.9292862415313721,1.2753921747207642,0.020322807133197784
220.0,1.0980277061462402,-0.9243423938751221,-2.0223701000213623,-0.9414145946502686,1.0980277061462402,0.017072241753339767
222.89312744140625,1.0,-0.9293604493141174,-1.9293605089187622,-0.9445374608039856,1.0,0.015176980756223202
225.0,0.9283775687217712,-0.9312219619750977,-1.8595995903015137,-0.9450165033340454,0.9283775687217712,0.013794565573334694
230.0,0.7460952401161194,-0.9298878908157349,-1.6759830713272095,-0.9404083490371704,0.7460952401161194,0.010520447045564651
235.0,0.546890377998352,-0.9210472106933594,-1.4679375886917114,-0.9283226132392883,0.546890377998352,0.007275447249412537
240.0,0.3311319947242737,-0.9055072665214539,-1.2366392612457275,-0.9095902442932129,0.3311319947242737,0.00408294890075922
245.0,0.09902608394622803,-0.884174644947052,-0.98320072889328,-0.8851397633552551,0.09902608394622803,0.0009651505388319492
250.0,-0.1494830846786499,-0.8580108880996704,-0.7085278034210205,-0.8559516668319702,-0.1494830846786499,-0.0020591893699020147
255.0,-0.41476428508758545,-0.8280137181282043,-0.4132494330406189,-0.8230383992195129,-0.41476428508758545,-0.0049753026105463505
260.0,-0.6975191831588745,-0.7952145338058472,-0.09769535064697266,-0.7874425053596497,-0.6975191831588745,-0.00777203356847167
